iter	Passed	Remaining
0	216	43087
1	405	40139
2	590	38745
3	782	38327
4	988	38539
5	1161	37565
6	1346	37124
7	1522	36528
8	1737	36878
9	1938	36833
10	2116	36360
11	2298	36016
12	2504	36029
13	2709	36003
14	2912	35916
15	3150	36226
16	3340	35957
17	3538	35778
18	3722	35457
19	3913	35224
20	4242	36163
21	4552	36833
22	4826	37140
23	5030	36893
24	5242	36695
25	5450	36477
26	5666	36307
27	5852	35952
28	6047	35656
29	6241	35370
30	6413	34966
31	6591	34606
32	6833	34579
33	7025	34298
34	7219	34036
35	7424	33820
36	7630	33613
37	7841	33427
38	8090	33401
39	8296	33185
40	8495	32946
41	8688	32685
42	8884	32439
43	9101	32268
44	9336	32157
45	9518	31867
46	9706	31597
47	9916	31400
48	10107	31148
49	10298	30896
50	10490	30648
51	10649	30310
52	10846	30083
53	11011	29771
54	11203	29537
55	11398	29311
56	11589	29074
57	11782	28845
58	11983	28639
59	12190	28445
60	12397	28249
61	12581	28004
62	12778	27788
63	12995	27614
64	13200	27417
65	13413	27233
66	13634	27066
67	13847	26880
68	14046	26667
69	14234	26435
70	14427	26213
71	14639	26026
72	14821	25785
73	15032	25595
74	15230	25383
75	15421	25161
76	15633	24973
77	15892	24857
78	16103	24664
79	16334	24501
80	16541	24301
81	16734	24081
82	16949	23893
83	17134	23661
84	17296	23401
85	17457	23141
86	17631	22901
87	17834	22698
88	18027	22484
89	18221	22270
90	18409	22051
91	18611	21848
92	18819	21652
93	19032	21461
94	19257	21284
95	19456	21077
96	19655	20871
97	19836	20645
98	20039	20444
99	20247	20247
100	20420	20015
101	20587	19780
102	20799	19587
103	21012	19396
104	21244	19220
105	21433	19007
106	21629	18799
107	21835	18600
108	22018	18382
109	22246	18201
110	22432	17986
111	22615	17769
112	22818	17568
113	23019	17365
114	23207	17153
115	23407	16950
116	23607	16747
117	23834	16563
118	24039	16362
119	24240	16160
120	24429	15949
121	24604	15730
122	24820	15537
123	25021	15335
124	25219	15131
125	25403	14919
126	25558	14691
127	25764	14492
128	25949	14282
129	26132	14071
130	26327	13866
131	26507	13655
132	26730	13465
133	26931	13264
134	27108	13052
135	27307	12850
136	27527	12658
137	27740	12463
138	27931	12257
139	28212	12091
140	28410	11888
141	28603	11683
142	28790	11475
143	28973	11267
144	29198	11075
145	29424	10883
146	29620	10679
147	29828	10480
148	30046	10284
149	30242	10080
150	30453	9882
151	30674	9686
152	30874	9484
153	31081	9284
154	31283	9082
155	31470	8876
156	31684	8677
157	31878	8474
158	32108	8279
159	32292	8073
160	32469	7865
161	32659	7660
162	32897	7467
163	33089	7263
164	33337	7071
165	33569	6875
166	33802	6679
167	34025	6481
168	34266	6285
169	34534	6094
170	34771	5896
171	34982	5694
172	35213	5495
173	35438	5295
174	35637	5091
175	35836	4886
176	36014	4679
177	36230	4477
178	36429	4273
179	36605	4067
180	36833	3866
181	37053	3664
182	37267	3462
183	37462	3257
184	37700	3056
185	37966	2857
186	38198	2655
187	38417	2452
188	38660	2250
189	38885	2046
190	39113	1843
191	39318	1638
192	39514	1433
193	39689	1227
194	39863	1022
195	40055	817
196	40279	613
197	40471	408
198	40673	204
199	40867	0
